,시도별(1),시점,아동학대 의심사례,latitude,longtitude
5,서울,2019,3267,37.538621,126.992652
9,부산,2019,2290,35.229459,129.124985
13,대구,2019,1823,35.855227,128.661413
17,인천,2019,2940,37.662311,126.796354
21,광주,2019,1066,35.191453,126.974922
25,대전,2019,1138,36.386379,127.511742
29,세종,2019,375,36.571728,127.309748
33,울산,2019,898,35.586029,129.386485
37,경기,2019,9331,37.484108,127.522423
41,강원,2019,1772,37.915648,128.161036
45,충북,2019,1336,37.070866,127.956560
49,충남,2019,1801,36.803435,127.015740
53,전북,2019,1935,35.803922,127.414181
57,전남,2019,2389,34.954678,127.197548
61,경북,2019,2155,35.837855,129.173126
65,경남,2019,1456,35.670216,128.261690
69,제주,2019,948,33.458114,126.849783
