,시도별(1),시점,아동학대 의심사례,latitude,longtitude
6,서울,2020,4008,37.538621,126.992652
10,부산,2020,2078,35.229459,129.124985
14,대구,2020,1653,35.855227,128.661413
18,인천,2020,2788,37.662311,126.796354
22,광주,2020,847,35.191453,126.974922
26,대전,2020,1551,36.386379,127.511742
30,세종,2020,367,36.571728,127.309748
34,울산,2020,1380,35.586029,129.386485
38,경기,2020,8628,37.484108,127.522423
42,강원,2020,1353,37.915648,128.161036
46,충북,2020,1087,37.070866,127.956560
50,충남,2020,2310,36.803435,127.015740
54,전북,2020,2397,35.803922,127.414181
58,전남,2020,2286,34.954678,127.197548
62,경북,2020,1779,35.837855,129.173126
66,경남,2020,1703,35.670216,128.261690
70,제주,2020,856,33.458114,126.849783
