"발생지역별(1)","시점",범죄발생총건수(A) (건),인구(B) (명),A/Bⅹ100000 (건/10만명),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건)
"부산","2018",126230,3441453,3667.9,75907,45536,14464,291,23114,3740,376,3551,2262,55,87,108,2012,16642,10802,4074,1158,458,12,98,29,11,1140,47,14,1048,31,375,117,148,92,18,1426,1256,6,164,846,217,271,358,7680,2555,934,1560,881,8,9,40,876,52,238,494,27,1,-,-,5,50323,20,7,5,142,141,27,30,44,257,392,4,391,77,305,7,105,257,87,217,10627,5,-,20,29,3161,946,-,59,6,171,21,89,270,1086,1210,371,8585,106,93,71,2,11,69,29,868,32,-,59,58,163,16,42,48,278,4,9,328,13,289,895,1131,14,698,7,47,56,-,946,3,38,-,103,263,2,95,25,360,6,470,26,121,25,80,29,277,2160,1347,5,695,623,47,1089,201,146,7,62,26,5,514,37,95,41,116,21,107,17,41,10,3,-,51,120,-,8,16,5237
"부산","2019",128725,3413841,3770.7,81027,50307,14628,236,27083,4036,478,3846,2317,69,86,97,2065,17072,11263,3748,1504,420,16,64,40,17,1205,29,15,1132,29,337,141,130,50,16,1055,863,2,190,637,216,289,132,8097,2784,805,1621,1066,16,8,50,906,29,237,558,16,-,-,-,1,47698,7,14,10,109,138,31,21,68,272,352,2,455,126,6,1358,75,359,-,209,11340,15,1,22,52,3076,747,24,40,9,151,14,98,207,795,1191,356,5711,106,96,90,1,22,42,30,785,15,2,33,27,153,340,30,25,216,6,4,497,20,279,708,33,154,532,9,75,79,-,939,4,35,-,66,333,4,116,37,285,9,431,3,80,33,126,21,386,1895,1425,11,663,536,80,1011,205,114,41,55,20,14,516,25,61,27,166,21,18,11,68,7,4,-,19,78,-,21,20,5788
"부산","2020",127673,3391946,3764,83892,55641,14280,227,32872,4097,408,3757,2123,60,39,86,1938,15559,10288,3218,1461,409,11,101,67,4,1150,26,6,1074,44,254,96,107,40,11,694,539,6,149,691,249,290,152,7780,2633,632,1756,1078,13,8,44,924,26,177,478,5,1,3,-,2,43781,14,8,226,120,172,9,20,51,280,191,5,413,101,2982,10,91,353,100,140,10804,7,3,25,29,2301,572,1,44,16,127,14,78,154,786,1349,306,3948,116,78,72,-,42,153,38,946,20,-,63,28,102,75,43,31,107,10,8,305,19,354,89,1284,659,317,8,50,60,-,799,13,21,163,-,337,4,109,31,263,9,110,11,37,17,47,77,306,2276,1320,6,474,456,57,1190,179,171,4,52,15,17,458,53,84,25,100,24,562,5,60,5,7,-,35,96,-,8,24,2737
"부산","2021",113558,3350380,3389.4,71623,46816,12748,74,26364,3560,545,3525,2336,48,51,52,2185,12793,7972,2855,1414,373,12,90,73,4,995,22,5,937,31,357,152,158,37,10,674,487,5,182,592,188,290,114,7060,2794,447,1330,1155,5,15,29,744,10,134,376,18,-,-,3,-,41935,42,2,769,51,209,7,7,49,114,176,4,473,123,1445,27,80,385,48,74,8889,10,2,45,14,1995,545,6,55,9,150,10,128,80,770,1201,232,3913,145,206,88,5,19,61,36,599,38,-,26,28,82,38,22,22,67,23,8,308,13,303,143,715,6,400,6,45,76,60,906,2,18,101,-,657,4,89,9,232,11,13,4,9,6,39,20,214,3002,1231,8,442,571,55,1128,118,140,1,66,4,14,299,24,84,19,69,18,573,2,64,7,333,-,28,58,1,16,12,5487
"대구","2018",79489,2461769,3228.9,44294,25896,8204,45,12431,2307,190,2719,1426,33,48,69,1276,10803,7009,2725,761,206,5,67,27,3,930,44,54,806,26,169,60,64,37,8,345,252,3,90,339,140,139,60,4386,1266,518,924,533,2,4,25,576,26,222,280,9,-,-,-,1,35195,68,13,1,11,55,32,25,21,8,208,6,319,171,-,-,101,15,77,15,11622,1,2,4,9,2248,760,-,26,-,14,3,55,81,485,1166,884,6925,125,43,20,-,15,22,11,338,26,-,17,30,209,19,46,24,197,7,2,240,6,111,30,-,-,327,4,-,2,-,172,1,19,-,48,176,7,44,12,87,9,305,3,11,18,40,19,226,1162,872,6,350,450,36,541,113,108,5,10,25,7,387,12,58,19,59,14,232,9,27,11,-,-,23,147,-,17,27,1969
"대구","2019",82905,2438031,3400.5,48919,30454,9272,18,15389,2746,229,2800,1429,42,36,61,1290,10726,7007,2441,955,191,2,85,41,4,829,22,12,773,22,101,34,38,21,8,582,451,4,127,352,166,127,59,4446,1241,488,954,680,4,3,31,569,38,183,248,4,-,-,1,2,33986,67,-,6,13,68,13,29,16,21,246,1,372,137,2,1,47,24,3,13,12527,5,1,13,35,2220,741,-,26,1,3,11,58,64,515,1168,687,5164,119,52,35,2,16,35,9,338,17,-,23,33,166,27,19,10,118,7,4,371,2,176,24,-,-,217,3,-,-,-,209,-,16,-,41,222,11,33,8,105,4,274,2,15,8,50,11,182,1316,898,8,313,359,41,601,112,118,3,62,7,2,399,30,77,30,76,14,15,1,45,2,2,-,16,104,-,16,29,1958
"대구","2020",79182,2418346,3274.2,48772,31781,8700,22,17472,2575,190,2822,1218,32,35,52,1099,9674,6229,2142,980,223,3,59,35,3,772,18,4,723,27,219,96,85,25,13,549,439,2,108,320,133,120,67,4239,1274,371,915,679,7,7,30,563,25,126,234,6,-,-,-,2,30410,47,5,110,19,100,25,14,24,16,198,7,335,100,-,4,35,21,51,17,11533,3,1,22,4,1725,599,-,62,1,-,8,31,52,566,1117,579,4219,114,35,24,1,16,29,30,339,19,-,28,22,98,33,23,23,94,7,8,279,6,155,22,-,-,125,6,-,-,-,148,-,15,102,-,203,8,45,6,113,1,93,7,4,27,37,7,89,1442,825,13,251,231,28,587,110,122,1,15,10,13,309,14,74,17,93,8,636,6,33,4,3,-,10,43,-,15,59,1347
"대구","2021",72339,2385412,3032.6,44696,29797,9309,7,15393,2352,149,2587,1396,27,23,55,1291,8518,5492,1797,933,188,6,54,44,4,625,9,1,590,25,116,52,57,6,1,311,189,1,121,301,111,121,69,3632,1124,264,648,744,2,13,34,470,17,123,181,11,-,-,-,1,27643,58,6,535,11,63,6,3,17,12,153,1,312,98,-,1,69,42,3,9,9149,2,-,21,9,1401,434,-,37,7,1,6,52,40,486,1174,404,4415,124,152,53,-,5,23,42,267,8,-,32,6,98,26,18,17,107,2,4,182,4,165,22,-,-,70,7,-,1,47,145,4,17,66,-,447,7,30,12,86,3,8,3,6,26,17,14,69,1595,726,16,270,323,39,540,94,103,4,55,11,5,224,31,79,34,73,12,552,5,61,3,-,-,39,34,2,12,14,1208
"인천","2018",94605,2954642,3201.9,59118,32555,9483,65,15666,3468,295,3578,2312,44,37,77,2154,15900,12119,2044,1111,391,16,138,71,10,855,96,14,715,30,140,52,56,23,9,479,276,13,190,516,198,234,84,6361,1462,814,2242,665,2,12,45,622,13,146,321,13,-,2,-,2,35487,17,4,5,21,72,27,25,105,283,393,2,452,17,5,5,95,94,63,305,6378,2,3,21,25,13,1,241,1,3,123,24,125,47,917,1128,634,7408,116,191,21,1,24,109,34,638,30,15,26,46,543,11,15,35,60,9,19,1,51,249,21,34,23,970,1,18,30,-,407,1,44,-,79,202,2,52,102,105,6,476,26,374,29,22,33,148,1588,1805,7,547,560,1,810,197,126,7,11,3,10,510,20,1,26,193,2,212,14,55,10,1,1,25,106,-,18,22,4066
"인천","2019",101289,2957026,3425.4,63447,35354,10149,186,16958,4319,262,3480,2276,51,60,72,2093,16431,12592,1814,1319,425,12,215,52,2,1127,127,13,944,43,354,121,197,21,15,755,509,-,246,477,207,168,102,6673,1677,817,1487,919,9,17,52,1239,28,156,270,2,-,-,-,-,37842,27,4,19,93,145,33,29,34,228,309,7,500,2,1371,11,52,77,2,444,7196,7,2,23,33,9,1,30,1,16,78,20,116,86,1350,1394,460,5711,103,176,27,-,23,276,30,744,23,6,20,34,479,64,27,39,67,8,29,3,45,464,43,18,4,522,4,30,30,-,445,4,19,-,51,259,2,71,39,94,3,512,16,388,33,35,27,206,2128,2007,8,534,580,-,920,168,123,9,40,16,6,489,20,-,27,307,15,26,16,70,2,-,6,22,158,-,24,28,4631
